CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE
I-200-20009-242348,Certified,2020-01-16,Architectural And Engineering Managers,"Vmware, Inc.",Palo Alto,CA,Palo Alto,CA,165027.0
I-200-21245-562592,Certified,2021-09-10,"Software Developers, Applications","Uber Technologies, Inc.",San Francisco,CA,Seattle,WA,119350.0
I-200-20087-439814,Certified,2020-04-03,Computer Systems Analysts,Ibm Corporation,Durham,NC,Overland Park,KS,65978.0
I-200-19277-072782,Certified,2019-10-11,Market Research Analysts And Marketing Specialists,"Uber Technologies, Inc.",San Francisco,CA,San Francisco,CA,69181.0
I-200-21123-283134,Certified,2021-05-10,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Farmington Hills,MI,75213.0
I-200-22077-992165,Certified,2022-03-25,Business Intelligence Analysts,"Whole Foods Market Services, Inc.",Austin,TX,Austin,TX,90147.0
I-200-19025-536310,Certified,2019-01-31,Computer Systems Analyst,Cognizant Technology Solutions Us Corp,College Station,TX,Rocky Hill,CT,94390.0
I-200-22137-182379,Certified,2022-05-24,Database Administrators,Snowflake Inc.,San Mateo,CA,Plano,TX,122554.0
I-200-23069-839922,Certified,2023-03-17,Information Security Engineers,"Corl Technologies, Llc",Chamblee,GA,Hicksville,NY,50315.0
I-200-19087-287211,Certified,2019-04-03,Financial Managers,Ib Centre Inc,Hallandale Beach,FL,Hallendale Beach,FL,107120.0
I-200-22312-574381,Certified,2022-11-16,Computer And Information Systems Managers,Deloitte Consulting Llp,Philadelphia,PA,Irvine,CA,139360.0
I-200-21102-215298,Certified,2021-04-19,"Physicians And Surgeons, All Other",Montefiore Medical Center,Bronx,NY,Bronx,NY,59946.0
I-200-19066-043561,Certified,2019-03-15,"Computer Occupations, All Other",Tata Consultancy Services Limited,Rockville,MD,Mentor,OH,58843.0
I-200-19063-040032,Certified,2019-03-11,"Computer Occupations, All Other",Jpmorgan Chase & Co.,Chicago,IL,Columbus,OH,63003.0
I-200-22181-325924,Certified,2022-07-08,Software Quality Assurance Engineers And Testers,Ibm Corporation,Durham,NC,Dallas,TX,76856.0
I-200-22167-286606,Certified,2022-06-24,Microbiologists,"Cato Research, Llc",Durham,NC,Durham,NC,69056.0
I-200-19010-216602,Certified,2019-01-16,"Computer Occupations, All Other","Erp Analysts, Inc.",Dublin,OH,Richmond,VA,89149.0
I-200-22243-448297,Certified,2022-09-08,Industrial Production Managers,Amazon.com Services Llc,Arlington,VA,Detroit,MI,97885.0
I-200-20003-232253,Certified,2020-01-10,Computer Systems Engineers/Architects,Google Llc,Mountain View,CA,Mountain View,CA,86858.0
I-200-19168-836349,Certified,2019-06-21,Mechanical Engineers,"Setty & Associates, Ltd.",Fairfax,VA,Fairfax,VA,70990.0
I-200-21294-660033,Withdrawn,2021-10-21,"Software Developers, Applications",Caremark Llc,Woonsocket,RI,Scottsdale,AZ,123906.0
I-200-20154-618790,Certified,2020-06-09,Computer Systems Engineers/Architects,"Mindpros, Inc.",Baltimore,MD,Ashburn,VA,97094.0
I-200-21112-249527,Certified,2021-04-29,"Software Developers, Applications","Koch Business Solutions, Lp",Wichita,KS,The Colony,TX,93558.0
I-200-20135-571042,Certified,2020-05-21,Data Warehousing Specialists,Tata Consultancy Services Limited,Rockville,MD,Bentonville,AR,69930.0
I-200-22055-928033,Certified,2022-03-03,"Software Developers, Applications","Feedzai, Inc.",San Mateo,CA,Tampa,FL,120765.0
I-200-21085-176377,Certified,2021-04-02,Computer Systems Analysts,Ibm India Private Limited,Durham,NC,Atlanta,GA,77730.0
I-200-19050-162835,Certified,2019-02-25,Computer Systems Analysts,Ernst & Young U.s. Llp,Secaucus,NJ,New York,NY,93642.0
I-200-21251-570386,Certified,2021-09-15,"Software Developers, Applications","Power Costs, Inc.",Norman,OK,Irving,TX,76898.0
I-200-23102-924526,Certified,2023-04-19,Accountants And Auditors,Deloitte & Touche Llp,Philadelphia,PA,Los Angeles,CA,54704.0
I-200-21159-377329,Certified,2021-06-15,Industrial Engineers,Intel Corporation,Santa Clara,CA,Hillsboro,OR,93704.0
I-200-21026-032985,Certified,2021-02-02,Business Intelligence Analysts,Amazon.com Services Llc,Seattle,WA,Sunnyvale,CA,137363.0
I-200-21319-706598,Certified,2021-11-22,Computer Programmers,Mars Tech Solutions Llc,Edison,NJ,Weehawken,NJ,76294.0
I-200-20023-271855,Certified,2020-01-30,Information Security Analysts,Deloitte & Touche Llp,Philadelphia,PA,Philadelphia,PA,118040.0
I-200-22313-576654,Certified,2022-11-17,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Rocky Hill,CT,101358.0
I-200-19156-367821,Certified,2019-06-11,"Software Developers, Applications",Cwc International Inc.,Houston,TX,Chesterfield,MO,100880.0
I-200-21089-183105,Certified,2021-04-06,Clinical Data Managers,"Pharmapace, Inc.",San Diego,CA,La Jolla,CA,65416.0
I-200-19045-260016,Certified,2019-02-25,Computer Systems Analysts,Tata Consultancy Services Limited,Rockville,MD,Woodland Hills,CA,76773.0
I-200-19352-205671,Certified,2019-12-26,Database Administrators,Novartis Services Inc.,East Hanover,NJ,East Hanover,NJ,127982.0
I-200-19136-091611,Certified,2019-05-22,Database Administrators,"American Technology Consulting, Llc",Clive,IA,Ashburn,VA,86590.0
I-200-19359-216371,Certified,2020-01-01,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Irvine,CA,78208.0
I-200-20030-288085,Certified - Withdrawn,2020-03-06,"Software Developers, Applications","Prokarma, Inc.",Omaha,NE,Omaha,NE,104395.0
I-200-21172-414441,Certified,2021-06-28,Business Intelligence Analysts,Eduloka Limited,Reno,NV,Reno,NV,72530.0
I-200-19294-099305,Certified,2019-10-28,"Software Developers, Applications",Dell Usa L.p.,Round Rock,TX,Round Rock,TX,124134.0
I-200-21165-394703,Certified,2021-06-22,"Software Developers, Applications","Qualtrics, Llc",Provo,UT,Seattle,WA,134098.0
I-200-20258-820856,Certified,2020-09-21,Computer Systems Engineers/Architects,Tata Consultancy Services Limited,Rockville,MD,Addison,TX,74027.0
I-200-21149-355624,Certified,2021-06-07,"Software Developers, Applications",Inertia Systems Inc.,Chula Vista,CA,Chula Vista,CA,80184.0
I-200-19016-610842,Certified,2019-01-23,"Computer Occupations, All Other","Sena Info Technologies, Inc.",Grand Rapids,MI,Plano,TX,80974.0
I-200-23111-955538,Certified,2023-04-28,Financial And Investment Analysts,Massachusetts Mutual Life Insurance Company,Springfield,MA,Boston,MA,66165.0
I-200-20139-581450,Certified,2020-05-26,"Software Developers, Applications",Deloitte Consulting Llp,Philadelphia,PA,Denver,CO,88858.0
I-200-20051-337002,Certified,2020-02-27,Energy Engineers,"Mpw Engineering, Llc",Tulsa,OK,Tulsa,OK,47736.0
I-200-22353-649881,Certified,2022-12-27,Software Developers,"Citibank, N.a.",New York,NY,Irving,TX,116938.0
I-200-19066-613233,Certified,2019-03-14,"Software Developers, Systems Software",Adobe Inc.,San Jose,CA,Emeryville,CA,153171.0
I-200-20162-641659,Certified,2020-06-17,Accountants And Auditors,Jerome Bellotti And Associates,Los Gatos,CA,Los Gatos,CA,59862.0
I-200-21175-424399,Certified,2021-07-01,Information Security Analysts,Goldman Sachs Bank Usa,Jersey City,NJ,Richardson,TX,94723.0
I-200-21126-291348,Certified,2021-05-13,Mechanical Engineers,Hcl America Solutions Inc,Sunnyvale,CA,Irvine,CA,68765.0
I-200-21267-606184,Certified,2021-10-01,Compliance Managers,Amazon.com Services Llc,Seattle,WA,Sunnyvale,CA,88329.0
I-200-20097-464164,Certified,2020-04-13,Computer Systems Analysts,Niit Technologies Limited,Princeton,NJ,Oaks,PA,75508.0
I-200-19010-907042,Certified,2019-01-16,Computer Systems Analysts,Wipro Limited,East Brunswick,NJ,Dublin,CA,86112.0
I-200-22007-816945,Certified,2022-01-14,Computer And Information Systems Managers,Bloomberg L.p.,New York,NY,New York,NY,165610.0
I-200-20031-290263,Certified,2020-02-07,Computer Systems Analysts,Tata Consultancy Services Limited,Rockville,MD,Overland Park,KS,65978.0
I-200-19109-686484,Certified,2019-05-09,Statisticians,Morgan Stanley & Co. Llc,New York,NY,New York,NY,105227.0
I-200-23130-011422,Certified,2023-05-17,Data Scientists,Bytedance Inc.,Mountain View,CA,San Jose,CA,156853.0
I-200-22271-498803,Certified,2022-10-05,Data Scientists,Multiedge Inc,Irving,TX,Irving,TX,97739.0
I-200-20112-505372,Certified,2020-04-28,"Electronics Engineers, Except Computer",Texas Instruments Incorporated,Dallas,TX,Cleveland,OH,90168.0
I-200-22245-452308,Certified,2022-09-12,Financial And Investment Analysts,Ernst & Young U.s. Llp,Secaucus,NJ,West New York,NJ,133370.0
I-200-20154-620144,Certified,2020-06-09,Biochemists And Biophysicists,University Of Illinois At Chicago,Chicago,IL,Chicago,IL,43659.0
I-200-22152-231396,Certified,2022-06-08,"Software Developers, Applications",It Commence Inc,Irving,TX,Irving,TX,94037.0
I-200-19081-028481,Certified,2019-03-28,"Software Developers, Applications","Adam Information Technologies, Llc",Madison,WI,Redmond,WA,113318.0
I-200-19068-952051,Certified,2019-03-22,Industrial Engineers,Fresh Direct Llc,Bronx,NY,Bronx,NY,58718.0
I-200-21266-602543,Certified,2021-09-30,"Medical Scientists, Except Epidemiologists",The Trustees Of Princeton University,Princeton,NJ,Princeton,NJ,46342.0
I-200-20220-757821,Certified - Withdrawn,2021-01-28,Computer And Information Systems Managers,American Home Shield Corporation,Memphis,TN,Memphis,TN,133827.0
I-200-23138-034350,Certified,2023-05-25,Hospitalists,"Rchp-Florence, Llc",Florence,AL,Florence,AL,186971.0
I-200-23157-084475,Certified,2023-06-13,Software Developers,Ibm Corporation,Durham,NC,Piscataway,NJ,157477.0
I-200-22173-304498,Certified,2022-06-29,"Computer Occupations, All Other","Asana, Inc.",San Francisco,CA,San Francisco,CA,151882.0
I-200-21315-699892,Certified,2021-11-18,Computer Systems Engineers/Architects,"Anthem, Inc.",Indianapolis,IN,Mason,OH,96990.0
I-200-21187-445987,Certified,2021-07-13,"Medical Scientists, Except Epidemiologists",Yale University,New Haven,CT,New Haven,CT,48942.0
I-200-21027-035891,Certified,2021-02-03,"Software Developers, Applications","Facebook, Inc",Menlo Park,CA,Menlo Park,CA,120931.0
I-200-20349-956983,Certified,2020-12-21,Software Quality Assurance Engineers And Testers,L&T Technology Services Limited,Edison,NJ,Dayton,OH,57366.0
I-200-20077-412401,Certified,2020-03-24,"Computer Occupations, All Other","Prolifics, Inc.",Orlando,FL,Sunnyvale,CA,109554.0
I-200-20171-669095,Certified - Withdrawn,2022-06-01,Industrial Engineers,"Fuyao Automotive North America, Inc.",Plymouth,MI,Plymouth,MI,67226.0
I-200-22217-399317,Certified,2022-08-12,Software Developers,"Compunnel Software Group, Inc",Plainsboro,NJ,Durham,NC,120786.0
I-200-22307-566783,Certified,2022-11-10,"Medical Scientists, Except Epidemiologists",Monell Chemical Senses Center,Philadelphia,PA,Philadelphia,PA,53851.0
I-200-19037-820943,Certified,2019-02-12,Financial Analysts,Goldman Sachs & Co. Llc,Jersey City,NJ,Miami,FL,62816.0
I-200-20062-364766,Withdrawn,2020-03-06,Statisticians,"Market America, Inc.",Greensboro,NC,Monterey,CA,63294.0
I-200-21237-545869,Certified,2021-09-01,"Software Developers, Applications",Compugain Llc,Herndon,VA,Fairfax,VA,98550.0
I-200-20281-869120,Certified,2020-10-15,Materials Scientists,"Applied Materials, Inc.",Santa Clara,CA,Santa Clara,CA,104354.0
I-200-23017-705939,Certified,2023-01-23,Accountants And Auditors,Ernst & Young U.s. Llp,Secaucus,NJ,San Francisco,CA,68266.0
I-200-22104-070823,Certified,2022-04-21,"Software Developers, Applications","Project Management Institute, Inc.",Newtown Square,PA,Plainsboro,NJ,123614.0
I-200-19193-928438,Certified,2019-07-18,"Computer Occupations, All Other",Capgemini America Inc,Chicago,IL,Raleigh,NC,86154.0
I-200-20329-925472,Certified,2020-12-02,"Electronics Engineers, Except Computer",Intel Corporation,Santa Clara,CA,Santa Clara,CA,158762.0
I-200-20050-334544,Certified,2020-02-26,"Software Developers, Applications","Vertex, Inc.",King Of Prussia,PA,King Of Prussia,PA,71386.0
I-200-22076-988010,Certified,2022-03-24,"Software Developers, Applications","Meta Platforms, Inc.",Menlo Park,CA,Seattle,WA,162510.0
I-200-22049-913863,Certified,2022-02-28,"Software Developers, Systems Software","American Family Mutual Insurance Company, S.i.",Madison,WI,Madison,WI,111405.0
I-200-23163-101935,Certified,2023-06-19,Exercise Physiologists,Balance Therapy Pt Pllc,Brooklyn,NY,Brooklyn,NY,48318.0
I-200-22245-452299,Certified,2022-09-12,Software Developers,"Qualcomm Technologies, Inc.",San Diego,CA,San Diego,CA,111322.0
I-200-21091-190601,Certified,2021-04-08,Molecular And Cellular Biologists,Dana-Farber Cancer Institute,Boston,MA,Bsoton,MA,55557.0
I-200-20119-524161,Certified,2020-05-05,Risk Management Specialists,Aozora North America Inc,New York,NY,New York,NY,92851.0
I-200-19126-138995,Certified,2019-05-10,"Software Developers, Applications",Datamart Systems Inc,Hillsborough,NJ,Los Angeles,CA,91395.0
I-200-22343-631219,Certified,2022-12-16,Accountants And Auditors,Ernst & Young U.s. Llp,Secaucus,NJ,Batavia,OH,64064.0
I-200-20325-921346,Certified,2020-11-30,"Software Developers, Applications","Wal-Mart Associates, Inc.",Bentonville,AR,Sunnyvale,CA,153300.0
I-200-19066-078465,Certified,2019-03-13,"Software Developers, Applications","Etech Global It Solutions, Llc",Fremont,CA,Chicago,IL,112403.0
I-200-19093-150828,Certified,2019-04-09,"Software Developers, Systems Software","Technumen, Inc",Piscataway,NJ,Winston-Salem,NC,93226.0
I-200-23052-791456,Certified,2023-02-28,Management Analysts,Visa U.s.a. Inc.,Foster City,CA,San Francisco,CA,151382.0
I-200-23108-944505,Certified,2023-04-25,Computer Systems Engineers/Architects,Etouch Systems Corporation,Milpitas,CA,San Jose,CA,76253.0
I-200-20029-284260,Certified,2020-02-05,Software Quality Assurance Engineers And Testers,"Anthem, Inc.",Indianapolis,IN,Atlanta,GA,73798.0
I-200-20015-254218,Certified,2020-01-21,Sales Engineers,Google Llc,Mountain View,CA,San Francisco,CA,115627.0
I-200-19325-160994,Certified - Withdrawn,2020-01-29,Network And Computer Systems Administrators,21 Staff Llc,Pleasanton,CA,Rochester,NY,64501.0
I-200-19043-556644,Certified,2019-02-22,Computer Programmer,Infosys Limited,Richardson,TX,Sunnyvale,CA,85883.0
I-200-20205-730858,Certified,2020-07-30,"Software Developers, Applications",Microsoft Corporation,Redmond,WA,Redmond,WA,134098.0
I-200-23160-094220,Certified,2023-06-16,Software Developers,Microsoft Corporation,Redmond,WA,Redmond,WA,127338.0
I-200-21321-709956,Certified,2021-11-24,Database Administrators,Aplomb Technologies Inc.,Princeton,NJ,St. Petersburg,FL,76294.0
I-200-22194-350122,Certified,2022-07-20,Software Developers,"Cloud Epa, Llc",Huntingdon Valley,PA,Dunwoody,GA,99008.0
I-200-19204-509777,Certified,2019-08-06,"Software Developers, Applications",Prodapt North America,Tualatin,OR,Little Rock,AR,71219.0
I-200-20171-667205,Certified,2020-06-26,Nanosystems Engineers,Florida International University,Miami,FL,Miami,FL,49837.0
I-200-23087-883874,Certified,2023-04-04,Software Developers,"Compunnel Software Group, Inc",Plainsboro,NJ,Plainsboro,NJ,133390.0
I-200-19066-382687,Certified,2019-03-26,Computer Systems Analysts,Ncr Corporation,Atlanta,GA,Atlanta,GA,57470.0
I-200-21222-512821,Certified,2021-08-16,Computer Systems Analysts,Tata Consultancy Services Limited,Rockville,MD,Deerfield,IL,75982.0
I-200-21337-743766,Certified,2021-12-10,"Software Developers, Applications","Ber-It, Inc.",Lisle,IL,Austin,TX,109138.0
I-200-23129-004134,Certified,2023-05-16,Compliance Officers,Campbell Oil Co Inc.,Newton,TX,Newton,TX,67122.0
I-200-20149-607087,Certified,2020-06-04,Information Technology Project Managers,Infosys Limited,Richardson,TX,Fort Worth,TX,79560.0
I-200-19155-084084,Certified,2019-06-14,Operations Research Analysts,"Facebook, Inc.",Menlo Park,CA,New York,NY,128856.0
I-200-20164-648143,Certified,2020-06-19,Information Technology Project Managers,Capgemini America Inc,Chicago,IL,Whippany,NJ,100651.0
I-200-22171-298384,Certified,2022-06-27,Information Technology Project Managers,"Franklin Infotech, Inc",Cedar Park,TX,Cedar Park,TX,70346.0
I-200-21035-054015,Certified,2021-02-11,Financial Analysts,Ernst & Young U.s. Llp,Secaucus,NJ,San Francisco,CA,69659.0
I-200-19228-162812,Certified,2019-09-03,"Software Developers, Applications",Bluecross Blueshield Of Tennessee Inc.,Chattanooga,TN,Chattanooga,TN,74339.0
I-200-19212-522952,Certified,2019-08-07,"Electronics Engineers, Except Computer",Intel Federal Llc,Santa Clara,CA,Hillsboro,OR,88067.0
I-200-21183-442739,Certified,2021-07-12,Human Resources Specialists,"Artech, Llc",Morristown,NJ,Morristown,NJ,48984.0
I-200-19097-391925,Certified,2019-04-11,"Computer Occupations, All Other","Innate Solutions,Inc",Newark,DE,Columbia,SC,67870.0
I-200-21106-231415,Certified,2021-04-23,Chemists,Abbvie Inc.,North Chicago,IL,North Chicago,IL,76066.0
I-200-22158-250499,Certified,2022-06-14,"Software Developers, Applications",People Tech Group Inc,Lewes,DE,Charlotte,NC,85842.0
I-200-19029-864274,Certified,2019-02-04,"Software Developers, Applications","Erp Analysts, Inc.",Dublin,OH,Houston,TX,110032.0
I-200-21161-387850,Certified,2021-06-17,Statisticians,"Capital One, National Association",Richmond,VA,Plano,TX,84698.0
I-200-21327-721702,Withdrawn,2021-11-23,Statisticians,Epsilon Data Management Llc,Irving,TX,Atlanta,GA,128378.0
I-200-22172-298770,Certified,2022-06-27,"Software Developers, Applications","Adp Technology Services, Inc.",Roseland,NJ,Alpharetta,GA,105040.0
I-200-22032-867748,Certified,2022-02-08,Computer And Information Research Scientists,Amazon.com Services Llc,Seattle,WA,Seattle,WA,147014.0
I-200-20071-396394,Certified,2020-03-18,Information Technology Project Managers,Infosys Limited,Richardson,TX,Tampa,FL,71469.0
I-200-20134-569560,Certified - Withdrawn,2023-06-23,"Medical Scientists, Except Epidemiologists","Dermbiont, Inc.",Boston,MA,Emeryville,CA,132371.0
I-200-19163-787678,Certified,2019-06-18,Pharmacists,Laansa Drugs Llc,Bay City,MI,Bay City,MI,94890.0
I-200-19099-262205,Certified,2019-04-15,"Software Developers, Applications","Fis Management Services, Llc",New York,NY,Milwaukee,WI,74568.0
I-200-23037-753422,Certified,2023-02-13,Cardiologists,"Excela Health Physician Practices, Inc.",Greensburg,PA,Greensburg,PA,208000.0
I-200-19277-072031,Certified,2019-10-11,"Health Specialties Teachers, Postsecondary",University Of New England,Biddeford,ME,Portland,ME,72530.0
I-200-22097-048357,Certified,2022-04-14,Mechanical Engineers,"Skymark Refuelers, Llc",Kansas City,KS,Kansas City,KS,75046.0
I-200-21286-643603,Certified,2021-10-20,"Software Developers, Applications","Nebraska Furniture Mart, Inc.",Omaha,NE,Omaha,NE,112341.0
I-200-22126-142760,Certified,2022-05-13,Software Quality Assurance Engineers And Testers,Accenture Llp,Chicago,IL,Virginia Beach,VA,94827.0
I-200-19053-071616,Certified,2019-03-18,Operations Research Analysts,"Capital One Services, Llc",Richmond,VA,Richmond,VA,75442.0
I-200-20268-843664,Certified,2020-10-01,Statisticians,Aetna Resources Llc,Lincoln,RI,Long Island City,NY,107141.0
I-200-22315-581814,Withdrawn,2022-11-14,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Cincinnati,OH,96637.0
I-200-20216-748394,Certified,2020-08-10,Chemists,Research Foundation For State University Of New York,Stony Brook,NY,Stony Brook,NY,51875.0
I-200-22003-803355,Certified,2022-01-10,"Software Developers, Applications","Best Buy Co., Inc.",Richfield,MN,Richfield,MN,109054.0
I-200-21112-248604,Certified,2021-04-29,"Computer Occupations, All Other",Infosys Bpm Limited,Richardson,TX,Atlanta,GA,74006.0
I-200-19276-069901,Certified,2019-10-10,Validation Engineers,Validation Associates Llc,Herndon,VA,Foster City,CA,90147.0
I-200-19065-812944,Certified,2019-03-12,Management Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Los Angeles,CA,93870.0
I-200-19227-440181,Certified,2019-08-21,Medical And Clinical Laboratory Technologists,"Au Medical Center, Inc.",Augusta,GA,Augusta,GA,52686.0
I-200-22263-481556,Certified,2022-09-27,Information Technology Project Managers,Accenture Llp,Chicago,IL,Glen Allen,VA,105165.0
I-200-20298-887709,Certified,2020-10-30,Computer Systems Analysts,"Tech Mahindra (Americas), Inc",Bedminster,NJ,Plano,TX,116334.0
I-200-23136-027691,Certified,2023-05-23,Software Developers,Astir Services Llc,South Plainfield,NJ,South Plainfield,NJ,85197.0
I-200-22014-829588,Certified,2022-01-21,Computer Programmers,Tek Leaders Inc,Plano,TX,Charlotte,NC,82638.0
I-200-20092-452331,Certified,2020-04-08,"Software Developers, Applications","Maximus, Inc.",Reston,VA,Albany,NY,107994.0
I-200-22027-856375,Certified,2022-02-02,Biostatisticians,Emory University,Atlanta,GA,Atlanta,GA,54995.0
I-200-21348-763746,Certified - Withdrawn,2022-02-14,"Medical Scientists, Except Epidemiologists",Yale University,New Haven,CT,New Haven,CT,48942.0
I-200-21109-238258,Certified,2021-04-26,Statisticians,Abbvie Inc.,North Chicago,IL,North Chicago,IL,79435.0
I-200-19045-414165,Certified,2019-02-21,"Computer Occupations, All Other",Tata Consultancy Services Limited,Rockville,MD,San Jose,CA,95638.0
I-200-22056-931413,Certified,2022-03-04,Computer Systems Analysts,"Dataquest Corp., Inc.",Branchburg,NJ,Jackson,MS,52666.0
I-200-20160-635187,Certified,2020-06-15,Compliance Officers,"Oracle America, Inc.",Redwood Shores,CA,Burlington,MA,99736.0
I-200-22126-142146,Certified,2022-05-12,Human Resources Specialists,"Kp Services Us, Llc",San Diego,CA,San Diego,CA,48568.0
I-200-20174-671938,Certified,2020-06-29,Mechanical Engineers,General Motors Company,Detroit,MI,Warren,MI,95867.0
I-200-21154-366285,Certified,2021-06-10,Computer Systems Analysts,Htc Global Services Inc.,Troy,MI,Omaha,NE,71198.0
I-200-20346-954911,Certified,2020-12-18,"Software Developers, Applications","Speridian Technologies, Llc",Albuquerque,NM,Lindon,UT,79186.0
I-200-23157-083603,Certified,2023-06-13,Software Developers,Staidlogic Llc,Worthington,OH,Atlanta,GA,117915.0
I-200-21075-151080,Certified,2021-03-23,Architectural And Engineering Managers,Eaton Corporation,Cleveland,OH,Raleigh,NC,104208.0
I-200-20129-555084,Certified,2020-05-15,Software Quality Assurance Engineers And Testers,Majesco,Morristown,NJ,Bethesda,MD,97094.0
I-200-22091-030323,Certified,2022-04-08,Supply Chain Managers,"Wyze Labs, Inc.",Kirkland,WA,Kirkland,WA,115690.0
I-200-23040-763821,Certified,2023-02-16,Software Developers,Mp Infotech Corp.,Princeton,NJ,Princeton,NJ,81411.0
I-200-22110-088064,Certified,2022-04-27,Computer Hardware Engineers,Google Llc,Mountain View,CA,Mountain View,CA,179566.0
I-200-22012-825527,Certified,2022-01-20,"Software Developers, Applications","Uber Technologies, Inc.",San Francisco,CA,New York,NY,101754.0
I-200-22110-088791,Certified,2022-04-27,"Software Developers, Applications",Lasai Technologies Llc,Redmond,WA,Redmond,WA,119350.0
I-200-21299-666999,Certified,2021-11-01,"Software Developers, Systems Software",Southwest Airlines Co.,Dallas,TX,Dallas,TX,94037.0
I-200-20101-477273,Certified,2020-04-17,"Physicians And Surgeons, All Other",St. Louis Children's Hopsital,St. Louis,MO,St. Louis,MO,56457.0
I-200-21151-356903,Certified,2021-06-07,"Software Developers, Applications",Technodeed Llc,Morrisville,NC,San Jose,CA,95430.0
I-200-21111-244223,Certified,2021-04-28,Business Intelligence Analysts,Adroit Associates Inc,Iselin,NJ,San Jose,CA,110926.0
I-200-22175-309540,Certified,2022-06-30,"Software Developers, Applications",Sunraise Technologies Inc,Fairfax,VA,San Jose,CA,130894.0
I-200-22053-920816,Certified - Withdrawn,2022-03-11,"Physicians And Surgeons, All Other",State University Of New York At Buffalo,Buffalo,NY,Buffalo,NY,57907.0
I-200-19058-510569,Certified,2019-03-05,Computer Systems Analyst,Cognizant Technology Solutions Us Corp,College Station,TX,Lexington,MA,78666.0
I-200-19126-462627,Certified,2019-05-13,"Software Developers, Systems Software",Hughes Network Systems Llc,Germantown,MD,Gaithersburg,MD,104083.0
I-200-22194-349709,Certified - Withdrawn,2022-08-22,Computer Systems Analysts,"Capgemini America, Inc.",Chicago,IL,Round Rock,TX,83325.0
I-200-22101-057113,Certified,2022-04-18,Logisticians,"Keefe Group, Llc",St. Louis,MO,St. Louis,MO,67205.0
I-200-22284-522191,Certified,2022-10-18,Industrial Engineers,Ingram Micro Inc.,Irvine,CA,Fort Worth,TX,84718.0
I-200-19035-263923,Certified,2019-02-12,"Physicians And Surgeons, All Other",Bridgeport Hospital,Bridgeport,CT,Bridgeport,CT,67147.0
I-200-19072-895987,Certified,2019-03-19,"Computer Occupations, All Other",Tech Matrix Inc,North Brunswick,NJ,San Jose,CA,95638.0
I-200-19037-876731,Certified,2019-02-12,Computer Systems Analyst,Cognizant Technology Solutions Us Corp,College Station,TX,Plano,TX,97864.0
I-200-23130-008380,Certified,2023-05-17,Software Developers,Microsoft Corporation,Redmond,WA,Redmond,WA,148013.0
I-200-22105-075292,Certified,2022-04-22,Auditors,The University Of Kansas,Lawrence,KS,Lawrence,KS,61318.0
I-200-20083-426838,Certified,2020-03-30,Operations Research Analysts,"T-Mobile Usa, Inc.",Bellevue,WA,Bellevue,WA,97053.0
I-200-20353-969595,Certified,2020-12-29,Mechanical Engineers,"Bmw Of North America, Llc",Woodcliff Lake,NJ,Mountain View,CA,103709.0
I-200-22206-373019,Certified,2022-08-01,"Middle School Teachers, Except Special And Career/Technical Education",Savannah Chatham County Public School System,Savannah,GA,Savannah,GA,51627.0
I-200-19344-188826,Certified,2019-12-17,Computer Systems Analysts,Wipro Limited,East Brunswick,NJ,Franklin Lakes,NJ,113672.0
I-200-20063-368746,Certified,2020-03-09,"Software Developers, Systems Software",Waymo Llc,Mountain View,CA,Mountain View,CA,122408.0
I-200-22097-048199,Certified,2022-04-14,"Software Developers, Applications",Cyber Sphere Llc,Suwanee,GA,Brooklyn,NY,123614.0
I-200-20346-954146,Certified,2020-12-18,Operations Research Analysts,Pricewaterhousecoopers Llp,Tampa,FL,Chicago,IL,79747.0
I-200-23152-067601,Certified,2023-06-08,Software Developers,Tiktok Inc.,Culver City,CA,Bellevue,WA,127338.0
I-200-19025-445793,Certified,2019-01-31,"Computer Occupations, All Other",Virtusa Corporation,Southborough,MA,Bridgewater,NJ,80142.0
I-200-21252-573573,Certified,2021-09-16,Sales Engineers,"Stmicroelectronics,Inc",Coppell,TX,Livonia,MI,114026.0
I-200-20301-889541,Certified,2020-11-03,"Software Developers, Applications",Sum-It Llc,Ashburn,VA,Washington,DC,143125.0
I-200-21051-090319,Certified,2021-02-26,Computer And Information Systems Managers,Xoriant Corporation,Sunnyvale,CA,Dallas,TX,136552.0
I-200-21306-681688,Certified,2021-11-09,Computer Systems Engineers/Architects,Tata Consultancy Services Limited,Rockville,MD,Irving,TX,76856.0
I-200-22083-005171,Certified,2022-03-30,Electrical Engineers,Black & Veatch Corporation,Overland Park,KS,Houston,TX,129771.0
I-200-22090-027169,Certified,2022-04-07,"Software Developers, Systems Software",Useful Sensors,San Francisco,CA,San Francisco,CA,167710.0
I-200-21147-349417,Certified,2021-06-04,Risk Management Specialists,Goldman Sachs Bank Usa,Jersey City,NJ,Richardson,TX,53893.0
