CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE
I-200-19290-091947,Certified,2019-10-24,Accountants And Auditors,Ernst & Young U.s. Llp,Secaucus,NJ,San Jose,CA,91062.0
I-200-22153-234341,Certified,2022-06-08,"Software Developers, Applications",Caliber It Solutions Inc,Rock Hill,SC,Richmond,VA,89669.0
I-200-22173-304145,Certified,2022-06-29,Industrial Engineers,"Tesla, Inc.",Austin,TX,Austin,TX,100381.0
I-200-20310-900490,Certified - Withdrawn,2020-11-18,Software Quality Assurance Engineers And Testers,Virtusa Corporation,Southborough,MA,Bloomfield,CT,108659.0
I-200-20017-260221,Certified,2020-01-27,"Computer Occupations, All Other","Tech Mahindra (Americas), Inc",Bedminster,NJ,Middletown,NJ,77750.0
I-200-20168-655937,Certified,2020-06-23,"Software Developers, Applications",Amazon.com Services Llc,Seattle,WA,Seattle,WA,93184.0
I-200-21141-332488,Certified,2021-05-28,Computer Programmers,Ibm Corporation,Durham,NC,Dorchester,MA,97531.0
I-200-19157-008150,Certified,2019-06-12,Financial Managers,"Biourja Trading, Llc",Houston,TX,Houston,TX,203674.0
I-200-22033-872718,Certified,2022-02-09,Operations Research Analysts,Ebay Inc.,San Jose,CA,San Jose,CA,184850.0
I-200-19235-873629,Certified,2019-08-29,"Software Developers, Applications","Data, Inc.",Montvale,NJ,Concord,NH,110240.0
I-200-22145-208036,Certified,2022-06-01,"Software Developers, Applications",Jeevan Technologies Inc,Brentwood,TN,Brentwood,TN,65707.0
I-200-22187-334973,Certified,2022-07-13,Data Scientists,"Morgan Stanley Services Group, Inc.",New York,NY,New York,NY,102482.0
I-200-20245-798712,Certified,2020-09-09,"Medical Scientists, Except Epidemiologists",General Hospital Corporation,Somerville,MA,Boston,MA,55500.0
I-200-21173-418107,Certified,2021-06-29,Mechanical Engineers,Racar Engineering Llc,Dublin,OH,Raymond,OH,96928.0
I-200-22075-985234,Certified,2022-03-23,Computer Systems Engineers/Architects,"Innovative Consulting, Inc.",Portland,OR,Portland,OR,74838.0
I-200-19176-072964,Certified,2019-07-01,"Software Developers, Applications",Virtusa Corporation,Southborough,MA,Pittsburgh,PA,72779.0
I-200-22090-024323,Certified - Withdrawn,2022-05-24,"Software Developers, Applications",Amazon.com Services Llc,Seattle,WA,Seattle,WA,97760.0
I-200-20016-258037,Certified,2020-01-24,"Software Developers, Applications","Capital One Services, Llc",Richmond,VA,Mclean,VA,96595.0
I-200-20078-416532,Certified,2020-03-25,Information Technology Project Managers,"Valuemomentum, Inc.",Piscataway,NJ,Portland,OR,101629.0
I-200-19078-206176,Certified,2019-03-25,"Software Developers, Applications","Computer Enterprises, Inc.",Pittsburgh,PA,Cranberry Township,PA,59197.0
I-200-19350-198537,Certified,2019-12-23,Sales Engineers,Microsoft Corporation,Redmond,WA,Bloomfield,NJ,71469.0
I-200-21048-083543,Certified,2021-02-24,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,Menlo Park,CA,145246.0
I-200-19078-960674,Certified,2019-03-25,Public Relations Specialists,"China Construction America, Inc.",Jersey City,NJ,Jersey City,NJ,56950.0
I-200-23152-068768,Certified,2023-06-08,Software Developers,"Logic Planet, Inc.",Princeton,NJ,Plano,TX,98904.0
I-200-21005-995737,Certified,2021-01-12,"Software Developers, Applications",Birlasoft Inc,Edison,NJ,Miamisburg,OH,78416.0
I-200-23166-116808,Certified,2023-06-22,Software Developers,"Indus Group, Inc.",Herndon,VA,Herndon,VA,110240.0
I-200-23156-079022,Certified,2023-06-12,Computer Hardware Engineers,"Mistral Solutions, Inc",Fremont,CA,Hauppauge,NY,93517.0
I-200-20030-286550,Certified,2020-02-06,"Software Developers, Applications","Cape Cod Hospital, Inc., Subsidiary Of Cape Cod Healthcare, Inc.",Hyannis,MA,Hyannis,MA,92893.0
I-200-20192-707015,Certified,2020-07-17,Data Warehousing Specialists,"Charter Communications, Inc.",St. Louis,MO,Maryland Heights,MO,98467.0
I-200-20097-461382,Certified,2020-04-13,Logistics Managers,Ngy Group (Chino) Inc.,Chino,CA,Chino,CA,79560.0
I-200-22054-923420,Certified,2022-03-02,"Software Developers, Applications","Arrowstreet Capital, Limited Partnership",Boston,MA,Boston,MA,139922.0
I-200-20309-898851,Certified - Withdrawn,2021-03-09,"Software Developers, Applications",Cloudwick Technologies Inc.,Newark,CA,Woodland Hills,CA,121667.0
I-200-22132-165787,Certified,2022-05-19,Hospitalists,"Medical College Of Wisconsin, Inc.",Milwaukee,WI,Milwaukee,WI,78478.0
I-200-21028-039928,Certified,2021-02-04,Statisticians,University Of Kentucky,Lexington,KY,Lexington,KY,51293.0
I-200-20045-323492,Certified,2020-02-21,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Charlotte,NC,96158.0
I-200-21323-716031,Certified,2021-11-29,Software Quality Assurance Engineers And Testers,Northeastern University,Boston,MA,Boston,MA,66872.0
I-200-22109-081921,Certified,2022-04-26,"Computer Occupations, All Other",Infosys Limited,Richardson,TX,Richardson,TX,76856.0
I-200-22144-205251,Certified,2022-06-01,Electrical Engineers,Lam Research Corporation,Fremont,CA,Fremont,CA,81702.0
I-200-20169-660543,Certified,2020-06-24,"Software Developers, Applications",Infogain Corporation,Los Gatos,CA,Plano,TX,86041.0
I-200-19077-894461,Certified,2019-03-22,"Software Developers, Applications","Tech Tammina, Llc",Chantilly,VA,Chantilly,VA,93933.0
I-200-21096-201719,Certified,2021-04-13,Statisticians,"Rent The Runway, Inc.",New York,NY,New York,NY,107141.0
I-200-19077-378106,Certified,2019-03-22,"Computer Occupations, All Other",Edvak Technologies Inc.,Houston,TX,Houston,TX,75733.0
I-200-23128-001513,Certified,2023-05-15,Video Game Designers,"Scopely, Inc.",Culver City,CA,Culver City,CA,72280.0
I-200-19081-189461,Certified,2019-03-28,"Software Developers, Applications",Indus Group Inc,Hackensack,NJ,Austin,TX,88483.0
I-200-20309-898317,Certified,2020-11-12,Accountants And Auditors,Deloitte & Touche Llp,Philadelphia,PA,Mclean,VA,68310.0
I-200-22277-509286,Certified,2022-10-12,Software Developers,"Qualcomm Technologies, Inc.",San Diego,CA,San Diego,CA,111322.0
I-200-23088-885042,Certified,2023-04-04,Software Developers,"Oracle America, Inc.",Austin,TX,Plano,TX,116938.0
I-200-20085-434208,Certified,2020-04-01,"Mathematical Science Teachers, Postsecondary","California State University, Sacramento",Sacramento,CA,Sacramento,CA,72468.0
I-200-22150-223782,Certified,2022-06-06,"Computer Occupations, All Other",Infosys Limited,Richardson,TX,Richardson,TX,95555.0
I-200-20161-639654,Certified,2020-06-16,"Software Developers, Systems Software",Cognizant Technology Solutions Us Corp,College Station,TX,Bridgewater,NJ,101067.0
I-200-23167-118337,Certified,2023-06-23,"Computer Science Teachers, Postsecondary",The University Of Virginia,Charlottesville,VA,Charlottesville,VA,107857.0
