,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
2400000,I-200-20344-943608,Certified,2020-12-16,"Software Developers, Applications","Cnet Global Solutions, Inc",Richardson,TX,93558.0,Texas,30029572.0
2400001,I-200-20344-943998,Certified,2020-12-16,"Software Developers, Applications","Microexcel, Inc",Secaucus,NJ,143936.0,New Jersey,9261699.0
2400002,I-200-20344-944377,Certified,2020-12-16,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,117235.0,California,39029342.0
2400003,I-200-20344-943892,Certified,2020-12-16,"Software Developers, Systems Software","Qualcomm Innovation Center, Inc.",San Diego,CA,117235.0,California,39029342.0
2400004,I-200-20344-943065,Certified,2020-12-16,"Software Developers, Applications","Quest Global Services-N.a., Inc.",Erie,PA,63274.0,Pennsylvania,12972008.0
2400005,I-200-20345-947614,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Stamford,CT,94411.0,Connecticut,3626205.0
2400006,I-200-20344-943372,Certified,2020-12-16,"Software Developers, Applications",Wissen It Inc,Annapolis,MD,94037.0,Maryland,6164660.0
2400007,I-200-20344-943591,Certified,2020-12-16,"Software Developers, Applications","Mastech Digital Systems, Inc.",Austin,TX,106080.0,Texas,30029572.0
2400008,I-200-20344-943950,Certified,2020-12-16,"Software Developers, Applications",Xavient Digital Llc,Maryland Heights,MO,83637.0,Missouri,6177957.0
2400009,I-200-20344-943379,Certified,2020-12-16,"Software Developers, Applications","Itech Us, Inc.",Ft Worth,TX,93558.0,Texas,30029572.0
2400010,I-200-20344-942600,Certified,2020-12-16,Mechanical Engineers,"Alten Technology Usa, Inc.",Raymond,OH,85446.0,Ohio,11756058.0
2400011,I-200-20344-942923,Certified,2020-12-16,Network And Computer Systems Administrators,Xavient Digital Llc,Englewood,CO,77667.0,Colorado,5839926.0
2400012,I-200-20344-947121,Certified,2020-12-16,Computer Systems Engineers/Architects,Virtusa Corporation,Wilmington,DE,74090.0,Delaware,1018396.0
2400013,I-200-20344-943148,Certified,2020-12-16,"Software Developers, Applications","Mastech Digital Infotech, Inc.",Atlanta,GA,85842.0,Georgia,10912876.0
2400014,I-200-20344-945494,Certified,2020-12-16,"Software Developers, Applications",Larsen & Toubro Infotech Limited,Tampa,FL,81806.0,Florida,22244823.0
2400015,I-200-20344-943017,Certified,2020-12-16,"Software Developers, Systems Software","Pyramid Technology Solutions, Inc",Irving,TX,93558.0,Texas,30029572.0
2400016,I-200-20344-943708,Certified,2020-12-16,"Software Developers, Applications",Lead It Corporation,Plano,TX,93558.0,Texas,30029572.0
2400017,I-200-20344-944103,Certified,2020-12-16,Computer Systems Analysts,3k Technologies Llc,Erlanger,KY,95014.0,Kentucky,4512310.0
2400018,I-200-20345-947716,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Los Angeles,CA,87173.0,California,39029342.0
2400019,I-200-20344-946933,Certified,2020-12-16,Computer Systems Engineers/Architects,E-Giants Technologies Llc,Raleigh,NC,75982.0,North Carolina,10698973.0
2400020,I-200-20344-946757,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Secane,PA,104749.0,Pennsylvania,12972008.0
2400021,I-200-20344-943909,Certified,2020-12-16,"Software Developers, Applications","Compunnel Software Group, Inc",Charlotte,NC,85488.0,North Carolina,10698973.0
2400022,I-200-20344-943330,Certified,2020-12-16,Database Administrators,Appridat Solutions Llc,Reston,VA,86486.0,Virginia,8683619.0
2400023,I-200-20345-947752,Certified,2020-12-16,"Software Developers, Applications","Erp Analysts, Inc.",New York,NY,100526.0,New York,19677151.0
2400024,I-200-20344-943721,Certified,2020-12-16,Mechanical Engineers,Racar Engineering Llc,Auburn Hills,MI,97261.0,Michigan,10034113.0
2400025,I-200-20344-943050,Certified,2020-12-16,"Software Developers, Applications","Vlink, Inc.",Bloomfield,CT,101296.0,Connecticut,3626205.0
2400026,I-200-20344-945349,Certified,2020-12-16,"Software Developers, Applications","Triveni Group, Llp",Rutherford,NJ,100526.0,New Jersey,9261699.0
2400027,I-200-20344-945670,Certified,2020-12-16,"Software Developers, Systems Software",Zen3 Infosolutions America Inc,Redmond,WA,113110.0,Washington,7785786.0
2400028,I-200-20344-942848,Certified,2020-12-16,Industrial Engineers,Racar Engineering Llc,Auburn Hills,MI,94432.0,Michigan,10034113.0
2400029,I-200-20344-945186,Certified,2020-12-16,Human Resources Managers,Sun Cloud Llc,Alpharetta,GA,106995.0,Georgia,10912876.0
2400030,I-200-20344-944869,Certified,2020-12-16,"Software Developers, Applications","Avani Technology Solutions, Inc.",Estero,FL,86174.0,Florida,22244823.0
2400031,I-200-20344-942717,Certified,2020-12-16,"Software Developers, Systems Software","Columbus Technology Solutions, Inc.",Columbus,OH,83075.0,Ohio,11756058.0
2400032,I-200-20344-945201,Certified,2020-12-16,"Software Developers, Applications",Prime Consulting Llc,Fort Worth,TX,93558.0,Texas,30029572.0
2400033,I-200-20345-948114,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Bloomington,IL,86986.0,Illinois,12582032.0
2400034,I-200-20344-943267,Certified,2020-12-16,"Software Developers, Applications","Sun-It Solutions, Inc.",San Antonio,TX,91562.0,Texas,30029572.0
2400035,I-200-20344-943449,Certified,2020-12-16,Computer And Information Systems Managers,"Vdrive It Solutions, Inc",Richardson,TX,111238.0,Texas,30029572.0
2400036,I-200-20344-946304,Certified,2020-12-16,Operations Research Analysts,"System Soft Technologies, Llc",Charlotte,NC,76024.0,North Carolina,10698973.0
2400037,I-200-20345-947958,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Irving,TX,80475.0,Texas,30029572.0
2400038,I-200-20345-948066,Certified,2020-12-16,"Software Developers, Applications",Byteware Inc,Reston,VA,118102.0,Virginia,8683619.0
2400039,I-200-20345-947524,Certified,2020-12-16,"Software Developers, Applications",Idexcel Inc,Austin,TX,106080.0,Texas,30029572.0
2400040,I-200-20344-943400,Certified,2020-12-16,"Software Developers, Applications","Thought Byte, Inc.",Westlake,TX,93558.0,Texas,30029572.0
2400041,I-200-20344-943578,Certified,2020-12-16,"Software Developers, Applications",Iris Software Inc,Irving,TX,93558.0,Texas,30029572.0
2400042,I-200-20344-945679,Certified,2020-12-16,"Software Developers, Applications","Jade Global, Inc.",North Wales,PA,105851.0,Pennsylvania,12972008.0
2400043,I-200-20345-947919,Certified,2020-12-16,Computer Systems Engineers/Architects,Cognizant Technology Solutions Us Corp,Groton,CT,67330.0,Connecticut,3626205.0
2400044,I-200-20344-943863,Certified,2020-12-16,"Software Developers, Applications",Skillsight Inc,Woodbury,MN,88712.0,Minnesota,5717184.0
2400045,I-200-20344-944830,Certified,2020-12-16,"Software Developers, Applications",Itamerica Inc,San  Antonio,TX,91562.0,Texas,30029572.0
2400046,I-200-20344-944832,Certified,2020-12-16,"Software Developers, Applications",Itamerica Inc,Houston,TX,90022.0,Texas,30029572.0
2400047,I-200-20344-945812,Certified,2020-12-16,"Software Developers, Applications",Ikon-Tech Services Llc,Phoenix,AZ,83637.0,Arizona,7359197.0
2400048,I-200-20344-945491,Certified,2020-12-16,"Software Developers, Applications",Sourceinfo Tech Inc.,Maryland Heights,MO,83637.0,Missouri,6177957.0
2400049,I-200-20344-944242,Certified,2020-12-16,Biomedical Engineers,8k Miles Software Services Inc,Tarrytown,NY,92934.0,New York,19677151.0
2400050,I-200-20345-947580,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Stamford,CT,94411.0,Connecticut,3626205.0
2400051,I-200-20344-947248,Certified,2020-12-16,"Software Developers, Applications",Rjt Compuquest Inc. Dba Apolis,New Jersey,NJ,89773.0,New Jersey,9261699.0
2400052,I-200-20344-946398,Certified,2020-12-16,Computer Systems Engineers/Architects,Cognizant Technology Solutions Us Corp,Groton,CT,67330.0,Connecticut,3626205.0
2400053,I-200-20344-946750,Certified,2020-12-16,"Software Developers, Applications","Pinion Services, Inc.",Albany,NY,79643.0,New York,19677151.0
2400054,I-200-20344-942784,Certified,2020-12-16,"Software Developers, Applications",Erp Cloud Technologies Llc,Coraopolis,PA,80142.0,Pennsylvania,12972008.0
2400055,I-200-20344-944682,Certified,2020-12-16,"Software Developers, Applications",Iconsoft Inc.,Sandiego,CA,98592.0,California,39029342.0
2400056,I-200-20344-944415,Certified,2020-12-16,Computer Systems Engineers/Architects,"Simeio Solutions, Llc",Jersey City,NJ,67766.0,New Jersey,9261699.0
2400057,I-200-20344-945394,Certified,2020-12-16,"Software Developers, Applications",Teckpros Llc,Baltimore,MD,94037.0,Maryland,6164660.0
2400058,I-200-20344-946722,Certified,2020-12-16,"Software Developers, Applications","V-Soft Consulting Group, Inc",Plano,TX,110344.0,Texas,30029572.0
2400059,I-200-20344-943179,Certified,2020-12-16,Validation Engineers,I3 Infotek Inc.,Pleasanton,CA,95222.0,California,39029342.0
2400060,I-200-20344-945674,Certified,2020-12-16,"Software Developers, Applications","Dataformix Technologies,Inc",Burbank,CA,99632.0,California,39029342.0
2400061,I-200-20345-947611,Certified,2020-12-16,"Software Developers, Applications","Prokarma, Inc.",Denver,CO,110677.0,Colorado,5839926.0
2400062,I-200-20344-943908,Certified,2020-12-16,"Software Developers, Applications",Caprus It Inc,Washington,DC,97406.0,District of Columbia,671803.0
2400063,I-200-20344-947190,Certified,2020-12-16,Validation Engineers,"Unicon Pharma, Inc.",Rahway,NJ,80725.0,New Jersey,9261699.0
2400064,I-200-20344-943187,Certified,2020-12-16,Software Quality Assurance Engineers And Testers,Csi Solutions Llc,Alpharetta,GA,74006.0,Georgia,10912876.0
2400065,I-200-20344-945814,Certified,2020-12-16,"Software Developers, Applications","Cohesity, Inc.",San Jose,CA,145725.0,California,39029342.0
2400066,I-200-20344-945064,Certified,2020-12-16,Information Technology Project Managers,"Ilink Systems, Inc.",Coopersburg,PA,101275.0,Pennsylvania,12972008.0
2400067,I-200-20345-948102,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Concord,NC,98114.0,North Carolina,10698973.0
2400068,I-200-20345-947562,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Houston,TX,119538.0,Texas,30029572.0
2400069,I-200-20344-944848,Certified,2020-12-16,Sales Engineers,"Arista Networks, Inc.",Frisco,TX,158191.0,Texas,30029572.0
2400070,I-200-20344-946098,Certified,2020-12-16,"Software Developers, Applications",Averon Solutions Inc,Irving,TX,93558.0,Texas,30029572.0
2400071,I-200-20344-946858,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Peapack,NJ,92269.0,New Jersey,9261699.0
2400072,I-200-20344-946453,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Agawam,MA,73861.0,Massachusetts,6981974.0
2400073,I-200-20344-944264,Certified,2020-12-16,"Software Developers, Applications","Code Ace Solutions, Inc.",Herndon,VA,97406.0,Virginia,8683619.0
2400074,I-200-20344-944195,Certified,2020-12-16,"Software Developers, Applications",Ar Systems Inc,Naperville,IL,87838.0,Illinois,12582032.0
2400075,I-200-20344-946252,Certified,2020-12-16,Computer Systems Analysts,Ust Global Inc,Issaquah,WA,91042.0,Washington,7785786.0
2400076,I-200-20344-944088,Certified,2020-12-16,Network And Computer Systems Administrators,"Compunnel Software Group, Inc",San Antonio,TX,70304.0,Texas,30029572.0
2400077,I-200-20345-947886,Certified,2020-12-16,Business Intelligence Analysts,Fpt Usa Corp,Atlanta,GA,72600.0,Georgia,10912876.0
2400078,I-200-20345-947734,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Los Angeles,CA,87173.0,California,39029342.0
2400079,I-200-20344-943199,Certified,2020-12-16,"Software Developers, Applications",Headstream Inc,Alpharetta,GA,85842.0,Georgia,10912876.0
2400080,I-200-20345-947627,Certified,2020-12-16,Computer And Information Systems Managers,"Governmentjobs.com, Inc.",El Segundo,CA,201074.0,California,39029342.0
2400081,I-200-20344-946632,Certified,2020-12-16,Computer Network Architects,"System Soft Technologies, Llc",Herndon,VA,107786.0,Virginia,8683619.0
2400082,I-200-20344-944550,Certified,2020-12-16,"Software Developers, Applications",Savin Technologies Inc,Tallahassee,FL,86653.0,Florida,22244823.0
2400083,I-200-20344-944219,Certified,2020-12-16,"Business Operations Specialists, All Other","Compunnel Software Group, Inc",Chandler,AZ,73778.0,Arizona,7359197.0
2400084,I-200-20344-947006,Certified,2020-12-16,Industrial Engineers,"Cerebral Technologies, Inc.",Bothell,WA,96262.0,Washington,7785786.0
2400085,I-200-20344-947086,Certified,2020-12-16,Electrical Engineers,"Ler Techforce, Llc",Columbus,IN,85446.0,Indiana,6833037.0
2400086,I-200-20344-947372,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Zionsville,IN,84386.0,Indiana,6833037.0
2400087,I-200-20344-947126,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Phoenix,AZ,91104.0,Arizona,7359197.0
2400088,I-200-20344-945922,Certified,2020-12-16,"Software Developers, Applications",Itiyam Llc,Minneapolis,MN,88712.0,Minnesota,5717184.0
2400089,I-200-20344-946998,Certified,2020-12-16,"Software Developers, Applications",Csxtech Inc.,Taylor,MI,79248.0,Michigan,10034113.0
2400090,I-200-20344-942671,Certified,2020-12-16,"Software Developers, Applications",Trans American Information Systems Inc,Sunnyvale,CA,145725.0,California,39029342.0
2400091,I-200-20344-945333,Certified,2020-12-16,Operations Research Analysts,"System Soft Technologies, Llc",Ashburn,VA,87298.0,Virginia,8683619.0
2400092,I-200-20345-948101,Certified,2020-12-16,"Software Developers, Applications",Srk Systems Inc.,Beachwood,OH,70678.0,Ohio,11756058.0
2400093,I-200-20344-944893,Certified,2020-12-16,Computer Programmers,Cyberthink Inc,Ridgefield Park,NJ,77646.0,New Jersey,9261699.0
2400094,I-200-20344-944703,Certified,2020-12-16,"Software Developers, Applications","Dataedge Consulting, Inc.",Durham,NC,90147.0,North Carolina,10698973.0
2400095,I-200-20344-943198,Certified,2020-12-16,"Software Developers, Applications",Zensoft It Solutions Inc.,Sandy Springs,GA,103501.0,Georgia,10912876.0
2400096,I-200-20344-947038,Certified,2020-12-16,"Software Developers, Applications","Adroit Software, Inc.",Durham,NC,108410.0,North Carolina,10698973.0
2400097,I-200-20344-945406,Certified,2020-12-16,"Software Developers, Applications",Data S Solutions Llc,Edison,NJ,100526.0,New Jersey,9261699.0
2400098,I-200-20345-947511,Certified,2020-12-16,"Software Developers, Applications","Clutchpoint, Llc",Manchester,NH,72592.0,New Hampshire,1395231.0
2400099,I-200-20344-944885,Certified,2020-12-16,Software Quality Assurance Engineers And Testers,"Astir It Solutions, Inc",Dallas,TX,74027.0,Texas,30029572.0
2400100,I-200-20344-944243,Certified,2020-12-16,Computer Systems Analysts,"Compunnel Software Group, Inc",San Jose,CA,101587.0,California,39029342.0
2400101,I-200-20344-942892,Certified,2020-12-16,Database Administrators,Swanktek Inc,Holmdel,NJ,90584.0,New Jersey,9261699.0
2400102,I-200-20344-944541,Certified,2020-12-16,"Software Developers, Applications","Sanra Solutions, Inc.",Austin,TX,106080.0,Texas,30029572.0
2400103,I-200-20345-947659,Certified,2020-12-16,"Software Developers, Applications",Quality Matrix Inc,Parsippany,NJ,100526.0,New Jersey,9261699.0
2400104,I-200-20344-944189,Certified,2020-12-16,"Software Developers, Applications",Geeksoft Llc,Edison,NJ,100526.0,New Jersey,9261699.0
2400105,I-200-20344-944751,Certified,2020-12-16,"Software Developers, Applications","Svk Systems, Inc.",Tysons,VA,97406.0,Virginia,8683619.0
2400106,I-200-20344-943399,Certified,2020-12-16,"Software Developers, Applications",Anjs Technologies Llc,Edison,NJ,100526.0,New Jersey,9261699.0
2400107,I-200-20344-944780,Certified,2020-12-16,"Software Developers, Applications","V-Soft Consulting Group, Inc",Tampa,FL,81806.0,Florida,22244823.0
2400108,I-200-20344-943471,Certified,2020-12-16,"Software Developers, Applications","Compunnel Software Group, Inc",Seattle,WA,113110.0,Washington,7785786.0
2400109,I-200-20344-945722,Certified,2020-12-16,"Software Developers, Applications",Prime Consulting Llc,Beaverton,OR,90979.0,Oregon,4240137.0
2400110,I-200-20345-947934,Certified,2020-12-16,Statisticians,Bytedance Inc.,Mountain View,CA,143291.0,California,39029342.0
2400111,I-200-20344-946181,Certified,2020-12-16,"Software Developers, Applications","Aventerprise, Inc",Hopkins,MN,88712.0,Minnesota,5717184.0
2400112,I-200-20344-944229,Certified,2020-12-16,Software Quality Assurance Engineers And Testers,Hiral Technologies Llc,Kansas City,MO,70096.0,Missouri,6177957.0
2400113,I-200-20344-945517,Certified,2020-12-16,"Electronics Engineers, Except Computer","Sambanova Systems, Inc.",Palo Alto,CA,141669.0,California,39029342.0
2400114,I-200-20344-945595,Certified,2020-12-16,"Software Developers, Applications","V-Soft Consulting Group, Inc",St Louis,MO,98779.0,Missouri,6177957.0
2400115,I-200-20344-946584,Certified,2020-12-16,Computer Programmers,"Techtu Business Solutions, Inc.",Sunnyvale,CA,96221.0,California,39029342.0
2400116,I-200-20345-947689,Certified,2020-12-16,"Software Developers, Systems Software",Tiktok Inc.,Mountain View,CA,170872.0,California,39029342.0
2400117,I-200-20344-946294,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Dover,NH,77646.0,New Hampshire,1395231.0
2400118,I-200-20344-946084,Certified,2020-12-16,Information Technology Project Managers,"Compunnel Software Group, Inc",Deerfield,IL,95555.0,Illinois,12582032.0
2400119,I-200-20344-945191,Certified,2020-12-16,Chemists,Granules Pharmaceuticals Inc.,Chantilly,VA,142709.0,Virginia,8683619.0
2400120,I-200-20344-944310,Certified,2020-12-16,Sales Engineers,"Arista Networks, Inc.",Cary,NC,96356.0,North Carolina,10698973.0
2400121,I-200-20344-942870,Certified,2020-12-16,"Software Developers, Applications",Eureka Infotech Inc,Atlanta,GA,85842.0,Georgia,10912876.0
2400122,I-200-20344-944574,Certified,2020-12-16,"Software Developers, Applications",Cwc International Inc.,Reston,VA,97406.0,Virginia,8683619.0
2400123,I-200-20344-944109,Certified,2020-12-16,Business Intelligence Analysts,Bahwan Cybertek Inc.,Santa Clara,CA,137363.0,California,39029342.0
2400124,I-200-20344-945726,Certified,2020-12-16,Information Technology Project Managers,Rei Systems Inc.,Aldie,VA,116147.0,Virginia,8683619.0
2400125,I-200-20344-946119,Certified,2020-12-16,Operations Research Analysts,"System Soft Technologies, Llc",Plano,TX,70096.0,Texas,30029572.0
2400126,I-200-20345-947957,Certified,2020-12-16,Computer Programmers,"The Evolvers Group, L.p.",Flower Mound,TX,76066.0,Texas,30029572.0
2400127,I-200-20344-946003,Certified,2020-12-16,"Software Developers, Applications","Millennium Info Tech, Inc.",Annapolis,MD,117894.0,Maryland,6164660.0
2400128,I-200-20344-946578,Certified,2020-12-16,"Software Developers, Applications","Gsk Solutions, Inc.",Atlanta,GA,85842.0,Georgia,10912876.0
2400129,I-200-20344-944354,Certified,2020-12-16,"Software Developers, Applications","Redeemsoft, Llc",Iselin,NJ,100526.0,New Jersey,9261699.0
2400130,I-200-20344-944744,Certified,2020-12-16,Software Quality Assurance Engineers And Testers,Cinergy Technology Inc.,San Jose,CA,110926.0,California,39029342.0
2400131,I-200-20344-943861,Certified,2020-12-16,"Software Developers, Applications",Competent Systems Inc,Houston,TX,90022.0,Texas,30029572.0
2400132,I-200-20344-947283,Certified,2020-12-16,"Software Developers, Systems Software",Cognizant Technology Solutions Us Corp,Auburn Hills,MI,79248.0,Michigan,10034113.0
2400133,I-200-20344-943335,Certified,2020-12-16,"Software Developers, Applications",Kastech Solutions Llc,Cincinnati,OH,87194.0,Ohio,11756058.0
2400134,I-200-20344-945590,Certified,2020-12-16,"Software Developers, Applications","Astir It Solutions, Inc",Alpharetta,GA,88703.0,Georgia,10912876.0
2400135,I-200-20344-944323,Certified,2020-12-16,"Software Developers, Applications",I28 Technologies Corporation,Henrico,VA,87984.0,Virginia,8683619.0
2400136,I-200-20344-944095,Certified,2020-12-16,"Software Developers, Applications",Geeksoft Llc,Edison,NJ,100526.0,New Jersey,9261699.0
2400137,I-200-20344-943855,Certified,2020-12-16,"Software Developers, Applications","System Soft Technologies, Llc",Evanston,IL,87838.0,Illinois,12582032.0
2400138,I-200-20344-944094,Certified,2020-12-16,"Software Developers, Applications","Bridgetown Consulting Group, Inc.",Newport Beach,CA,78125.0,California,39029342.0
2400139,I-200-20344-946616,Certified,2020-12-16,Computer Network Architects,"System Soft Technologies, Llc",Chantilly,VA,107786.0,Virginia,8683619.0
2400140,I-200-20344-944945,Certified,2020-12-16,"Software Developers, Applications",Nitya Software Solutions Inc,Austin,TX,87589.0,Texas,30029572.0
2400141,I-200-20345-948133,Certified,2020-12-16,"Software Developers, Systems Software",Wise Equation Solutions Inc.,Minneapolis,MN,88712.0,Minnesota,5717184.0
2400142,I-200-20344-947211,Certified,2020-12-16,"Electronics Engineers, Except Computer","Advanced Micro Devices, Inc.",Santa Clara,CA,141669.0,California,39029342.0
2400143,I-200-20344-947218,Certified,2020-12-16,"Electronics Engineers, Except Computer","Nuvia, Inc.",Santa Clara,CA,166026.0,California,39029342.0
2400144,I-200-20344-944198,Certified,2020-12-16,"Computer Occupations, All Other",Ciber Global Llc,Pittsburgh,PA,93246.0,Pennsylvania,12972008.0
2400145,I-200-20345-947710,Certified,2020-12-16,"Software Developers, Systems Software",Tiktok Inc.,Mountain View,CA,170872.0,California,39029342.0
2400146,I-200-20344-946059,Certified,2020-12-16,Network And Computer Systems Administrators,Servesys Corporation,Irving,TX,77334.0,Texas,30029572.0
2400147,I-200-20344-944082,Certified,2020-12-16,"Software Developers, Applications",Caprus It Inc,Minneapolis,MN,88712.0,Minnesota,5717184.0
2400148,I-200-20344-946501,Certified,2020-12-16,"Software Developers, Applications","First Tek, Inc",Vienna,VA,97406.0,Virginia,8683619.0
2400149,I-200-20344-943782,Certified,2020-12-16,"Software Developers, Applications","United It Solutions, Inc",Irving,TX,93558.0,Texas,30029572.0
2400150,I-200-20344-947113,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Windsor,CT,81453.0,Connecticut,3626205.0
2400151,I-200-20344-943641,Certified,2020-12-16,"Software Developers, Systems Software",Savantis Solutions Llc,Windsor Mill,MD,94037.0,Maryland,6164660.0
2400152,I-200-20344-947226,Certified,2020-12-16,"Electronics Engineers, Except Computer","Sambanova Systems, Inc.",Palo Alto,CA,117291.0,California,39029342.0
2400153,I-200-20344-945327,Certified,2020-12-16,Data Warehousing Specialists,"Saggezza, Inc.",Warrenville,IL,75754.0,Illinois,12582032.0
2400154,I-200-20344-947465,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Austin,TX,101941.0,Texas,30029572.0
2400155,I-200-20344-945247,Certified,2020-12-16,Chemists,Granules Pharmaceuticals Inc.,Chantilly,VA,142709.0,Virginia,8683619.0
2400156,I-200-20344-945190,Certified,2020-12-16,"Software Developers, Applications",Natsoft Corporation,Middletown,NJ,100526.0,New Jersey,9261699.0
2400157,I-200-20344-943294,Certified,2020-12-16,Validation Engineers,I3 Infotek Inc.,Pleasanton,CA,95222.0,California,39029342.0
2400158,I-200-20344-947296,Certified,2020-12-16,"Software Developers, Applications","Prokarma, Inc.",Valley,NE,79019.0,Nebraska,1967923.0
2400159,I-200-20344-945092,Certified,2020-12-16,Computer Systems Engineers/Architects,Csi Solutions Llc,Alpharetta,GA,74006.0,Georgia,10912876.0
2400160,I-200-20344-943813,Certified,2020-12-16,"Software Developers, Applications",Cloud Soft Inc.,New Yor,NY,100526.0,New York,19677151.0
2400161,I-200-20344-943082,Certified,2020-12-16,"Software Developers, Applications",Certide Inc,Lakeland,FL,75296.0,Florida,22244823.0
2400162,I-200-20344-944870,Certified,2020-12-16,"Software Developers, Applications","Neo Prism Solutions Llc,",Sunset Hills,MO,83637.0,Missouri,6177957.0
2400163,I-200-20345-947697,Certified,2020-12-16,"Software Developers, Applications","The Mathworks, Inc.",Natick,MA,96242.0,Massachusetts,6981974.0
2400164,I-200-20345-947555,Certified,2020-12-16,"Software Developers, Applications",Quality Matrix Inc,Woonsocket,RI,90418.0,Rhode Island,1093734.0
2400165,I-200-20344-946782,Certified,2020-12-16,Information Technology Project Managers,Technocraft Solutions Llc,Farmington,CT,72384.0,Connecticut,3626205.0
2400166,I-200-20344-943138,Certified,2020-12-16,"Software Developers, Applications","Compunnel Software Group, Inc",Mclean,VA,97406.0,Virginia,8683619.0
2400167,I-200-20344-945715,Certified,2020-12-16,Electrical Engineers,"Ler Techforce, Llc",Columbus,IN,77022.0,Indiana,6833037.0
2400168,I-200-20344-943955,Certified,2020-12-16,Computer Systems Analysts,"First Tek, Inc",Minneapolis,MN,81453.0,Minnesota,5717184.0
2400169,I-200-20344-945869,Certified,2020-12-16,Computer Systems Engineers/Architects,E-It Professionals Corp.,Livonia,MI,78811.0,Michigan,10034113.0
2400170,I-200-20344-944061,Certified,2020-12-16,"Software Developers, Applications","Compunnel Software Group, Inc",Sunnyvale,CA,120578.0,California,39029342.0
2400171,I-200-20344-945982,Certified,2020-12-16,Computer Systems Analysts,"Tech Tammina, Llc",Washington,DC,89149.0,District of Columbia,671803.0
2400172,I-200-20344-947297,Certified,2020-12-16,"Electronics Engineers, Except Computer","Mobilecomm Professionals, Inc.",Des Moines,IA,64168.0,Iowa,3200517.0
2400173,I-200-20344-943134,Certified,2020-12-16,"Computer Occupations, All Other","Acadia Technologies, Inc.",Plano,TX,74027.0,Texas,30029572.0
2400174,I-200-20345-948140,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Irving,TX,80475.0,Texas,30029572.0
2400175,I-200-20345-948104,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Dearborn,MI,89294.0,Michigan,10034113.0
2400176,I-200-20344-944710,Certified,2020-12-16,Computer Network Architects,I28 Technologies Corporation,Morrisville,NC,82701.0,North Carolina,10698973.0
2400177,I-200-20344-947381,Certified,2020-12-16,"Software Developers, Applications",Quality Matrix Inc,Plano,TX,93558.0,Texas,30029572.0
2400178,I-200-20345-947478,Certified,2020-12-16,"Software Developers, Applications",Quality Matrix Inc,Quincy,MA,96242.0,Massachusetts,6981974.0
2400179,I-200-20344-945390,Certified,2020-12-16,"Software Developers, Applications",I28 Technologies Corporation,Atlanta,GA,85842.0,Georgia,10912876.0
2400180,I-200-20345-948076,Certified,2020-12-16,"Software Developers, Applications",Torque Technologies Llc,Rensselaer,NY,79643.0,New York,19677151.0
2400181,I-200-20344-945499,Certified,2020-12-16,"Software Developers, Applications","Techdemocracy, Llc",Highlands Ranch,CO,92477.0,Colorado,5839926.0
2400182,I-200-20344-947146,Certified,2020-12-16,Regulatory Affairs Specialists,"Global Pharmatek, Llc",Somerville,NJ,69139.0,New Jersey,9261699.0
2400183,I-200-20344-944619,Certified,2020-12-16,Computer Systems Engineers/Architects,"Aspyretech, Inc.",St Peters,MO,66602.0,Missouri,6177957.0
2400184,I-200-20344-945296,Certified,2020-12-16,Database Administrators,Resource Logistics Inc,Mount Laurel,NJ,92331.0,New Jersey,9261699.0
2400185,I-200-20344-943612,Certified,2020-12-16,Software Quality Assurance Engineers And Testers,Raas Infotek Llc,Blue Ash,OH,61173.0,Ohio,11756058.0
2400186,I-200-20344-945346,Certified,2020-12-16,"Software Developers, Applications","Triveni Group, Llp",Rutherford,NJ,100526.0,New Jersey,9261699.0
