,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
2412315,I-200-20352-967633,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",Longmont,CO,96866.0,Colorado,5839926.0
2412316,I-200-20353-968354,Certified,2020-12-28,"Software Developers, Systems Software","Facebook, Inc.",Menlo Park,CA,120931.0,California,39029342.0
2412317,I-200-20353-968559,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Innovation Center, Inc.",San Diego,CA,117021.0,California,39029342.0
2412318,I-200-20352-966295,Certified,2020-12-28,"Software Developers, Applications","Msit Systems, Inc",Redmond,WA,113110.0,Washington,7785786.0
2412319,I-200-20352-967562,Certified,2020-12-28,"Software Developers, Applications",Deemsys Inc,Dublin,OH,83075.0,Ohio,11756058.0
2412320,I-200-20352-965907,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",Austin,TX,130894.0,Texas,30029572.0
2412321,I-200-20352-967752,Certified,2020-12-28,"Software Developers, Applications",Unique Key Resources Inc,Charlotte,NC,85488.0,North Carolina,10698973.0
2412322,I-200-20353-968668,Certified,2020-12-28,"Software Developers, Applications","Bell Systems, Inc",Largo,FL,81806.0,Florida,22244823.0
2412323,I-200-20352-966119,Certified,2020-12-28,"Software Developers, Applications","G2o, Llc",Dublin,OH,74888.0,Ohio,11756058.0
2412324,I-200-20353-968390,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,169562.0,California,39029342.0
2412325,I-200-20352-967776,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,New York,NY,92269.0,New York,19677151.0
2412326,I-200-20353-968591,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Atlanta,GA,77730.0,Georgia,10912876.0
2412327,I-200-20352-966313,Certified,2020-12-28,"Computer Occupations, All Other",Infosys Limited,Northbrook,IL,75754.0,Illinois,12582032.0
2412328,I-200-20352-965895,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,CA,98592.0,California,39029342.0
2412329,I-200-20352-967162,Certified,2020-12-28,"Software Developers, Applications",10bits Llc,Austin,TX,69118.0,Texas,30029572.0
2412330,I-200-20352-966690,Certified,2020-12-28,Information Technology Project Managers,"Hexaware Technologies, Inc.",Mclean,VA,97594.0,Virginia,8683619.0
2412331,I-200-20352-967735,Certified,2020-12-28,"Software Developers, Applications","Government Systems Technologies, Inc.",Wharton,NJ,100526.0,New Jersey,9261699.0
2412332,I-200-20353-968611,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,New York,NY,114067.0,New York,19677151.0
2412333,I-200-20352-967503,Certified,2020-12-28,"Software Developers, Applications",Softworld Technologies Llc,Pleasanton,CA,96616.0,California,39029342.0
2412334,I-200-20352-966048,Certified,2020-12-28,Computer Systems Engineers/Architects,"Ikcon Technologies, Inc.",Woodland Hills,CA,85987.0,California,39029342.0
2412335,I-200-20352-966726,Certified,2020-12-28,"Software Developers, Applications",Fpt Usa Corporation,Atlanta,GA,121139.0,Georgia,10912876.0
2412336,I-200-20352-967127,Certified,2020-12-28,Information Technology Project Managers,"Harmonia Holdings Group, Llc",Mclean,VA,116147.0,Virginia,8683619.0
2412337,I-200-20353-968480,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",New York,NY,122221.0,New York,19677151.0
2412338,I-200-20352-968048,Certified,2020-12-28,Computer Systems Engineers/Architects,Mindtree Limited,Orlando,FL,47590.0,Florida,22244823.0
2412339,I-200-20352-968235,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,116122.0,California,39029342.0
2412340,I-200-20352-965899,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,148762.0,California,39029342.0
2412341,I-200-20352-966077,Certified,2020-12-28,Computer Systems Analysts,Infosys Limited,Riverside,RI,98426.0,Rhode Island,1093734.0
2412342,I-200-20352-967264,Certified,2020-12-28,Computer Systems Engineers/Architects,Virtusa Corporation,Piscataway,NJ,44179.0,New Jersey,9261699.0
2412343,I-200-20353-968607,Certified,2020-12-28,Computer Systems Engineers/Architects,Cognizant Technology Solutions Us Corp,Richardson,TX,74027.0,Texas,30029572.0
2412344,I-200-20352-966819,Certified,2020-12-28,"Software Developers, Applications",Cloud Hub It Solutions Inc,Irving,TX,93558.0,Texas,30029572.0
2412345,I-200-20352-966407,Certified,2020-12-28,"Software Developers, Applications",Vbridgeit Inc,Northbrook,IL,87838.0,Illinois,12582032.0
2412346,I-200-20352-966032,Certified,2020-12-28,Computer Systems Analysts,Infosys Limited,Austin,TX,87485.0,Texas,30029572.0
2412347,I-200-20352-967551,Certified,2020-12-28,"Electronics Engineers, Except Computer",Nvidia Corporation,Westford,MA,143707.0,Massachusetts,6981974.0
2412348,I-200-20353-968601,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Montpelier,VT,72654.0,Vermont,647064.0
2412349,I-200-20352-966892,Certified,2020-12-28,"Software Developers, Applications",Sriven Systems Inc,Bloomington,IL,91790.0,Illinois,12582032.0
2412350,I-200-20352-967622,Certified,2020-12-28,"Software Developers, Applications",Zuven Technologies Inc,Durham,NC,90147.0,North Carolina,10698973.0
2412351,I-200-20352-966443,Certified,2020-12-28,"Software Developers, Applications",Deebecon Inc,Cupertino,CA,96616.0,California,39029342.0
2412352,I-200-20352-967685,Certified,2020-12-28,"Software Developers, Applications","Compunnel Software Group, Inc",Dublin,OH,97594.0,Ohio,11756058.0
2412353,I-200-20352-967386,Certified,2020-12-28,Information Technology Project Managers,"Virtusa Consulting Services Pvt., Ltd",Naperville,IL,95555.0,Illinois,12582032.0
2412354,I-200-20352-966893,Certified,2020-12-28,Computer Programmers,Rjt Compuquest Inc. Dba Apolis,Irving,TX,78645.0,Texas,30029572.0
2412355,I-200-20352-966111,Certified,2020-12-28,Computer Programmers,Wipro Limited,Bentonville,AR,58822.0,Arkansas,3045637.0
2412356,I-200-20352-967740,Certified,2020-12-28,"Software Developers, Applications","Mastech Digital Technologies, Inc.",Omaha,NE,93038.0,Nebraska,1967923.0
2412357,I-200-20353-968322,Certified,2020-12-28,Computer And Information Research Scientists,Facebook Inc.,Seattle,WA,133460.0,Washington,7785786.0
2412358,I-200-20352-966964,Certified,2020-12-28,"Software Developers, Applications",Cloud Hub It Solutions Inc,Baltimore,MD,94037.0,Maryland,6164660.0
2412359,I-200-20352-966256,Certified,2020-12-28,Information Technology Project Managers,"Facebook, Inc.",Menlo Park,CA,145205.0,California,39029342.0
2412360,I-200-20352-966079,Certified,2020-12-28,"Software Developers, Applications","Mastech Digital Resourcing, Inc.",Pittsburgh,PA,95264.0,Pennsylvania,12972008.0
2412361,I-200-20352-967848,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Middleburg Heights,OH,84302.0,Ohio,11756058.0
2412362,I-200-20352-967046,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,CA,135429.0,California,39029342.0
2412363,I-200-20352-965941,Certified,2020-12-28,Computer Programmers,Wipro Limited,Schaumburg,IL,73237.0,Illinois,12582032.0
2412364,I-200-20352-967437,Certified,2020-12-28,"Software Developers, Applications",Pioneer Consulting Llc,Portsmouth,NH,77230.0,New Hampshire,1395231.0
2412365,I-200-20353-968370,Certified,2020-12-28,Mathematicians,Facebook Inc.,Redmond,WA,143520.0,Washington,7785786.0
2412366,I-200-20352-966974,Certified,2020-12-28,"Software Developers, Applications","Zirlen Technologies, Inc.",Houston,TX,90022.0,Texas,30029572.0
2412367,I-200-20352-966238,Certified,2020-12-28,"Software Developers, Applications","Mastech Digital Technologies, Inc.",Thomasville,NC,81702.0,North Carolina,10698973.0
2412368,I-200-20352-968246,Certified,2020-12-28,"Software Developers, Applications","Comtec Consultants, Inc.",Irving,TX,93558.0,Texas,30029572.0
2412369,I-200-20352-965894,Certified,2020-12-28,Sales Engineers,"Tech Mahindra (Americas), Inc",San Jose,CA,115544.0,California,39029342.0
2412370,I-200-20352-966096,Certified,2020-12-28,"Software Developers, Applications",Capgemini America Incx,Middletown,PA,74006.0,Pennsylvania,12972008.0
2412371,I-200-20353-968375,Certified,2020-12-28,Business Intelligence Analysts,"Facebook, Inc.",Menlo Park,CA,145205.0,California,39029342.0
2412372,I-200-20352-966515,Certified,2020-12-28,Computer Systems Analysts,"Compunnel Software Group, Inc",Mechanicsburg,PA,97968.0,Pennsylvania,12972008.0
2412373,I-200-20353-968646,Certified,2020-12-28,"Software Developers, Applications",Facebook Inc.,Menlo Park,CA,169562.0,California,39029342.0
2412374,I-200-20352-967624,Certified,2020-12-28,"Software Developers, Applications",Jean Martin Inc,New York,NY,100526.0,New York,19677151.0
2412375,I-200-20352-966514,Certified,2020-12-28,"Electronics Engineers, Except Computer",L&T Technology Services Llc,Menlo Park,CA,97011.0,California,39029342.0
2412376,I-200-20352-966653,Certified,2020-12-28,"Software Developers, Applications","Humac, Inc.",Phoenix,AZ,83637.0,Arizona,7359197.0
2412377,I-200-20352-967736,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,108930.0,California,39029342.0
2412378,I-200-20352-967526,Certified,2020-12-28,"Software Developers, Applications","Compunnel Software Group, Inc",Cincinnati,OH,87194.0,Ohio,11756058.0
2412379,I-200-20352-966706,Certified,2020-12-28,Computer Systems Engineers/Architects,Iquadra Information Services Llc,Pleasanton,CA,95555.0,California,39029342.0
2412380,I-200-20352-965999,Certified,2020-12-28,"Software Developers, Systems Software",Capgemini America Inc,Dallas,TX,110344.0,Texas,30029572.0
2412381,I-200-20352-966040,Certified,2020-12-28,"Software Developers, Applications","Mastech Digital Resourcing, Inc.",Pittsburgh,PA,95264.0,Pennsylvania,12972008.0
2412382,I-200-20352-966564,Certified,2020-12-28,Software Quality Assurance Engineers And Testers,L&T Technology Services Limited,Concord,CA,88367.0,California,39029342.0
2412383,I-200-20353-968448,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,136056.0,California,39029342.0
2412384,I-200-20352-966736,Certified,2020-12-28,"Software Developers, Applications",Intellativ Inc,Brooklyn,NY,122221.0,New York,19677151.0
2412385,I-200-20352-966066,Certified,2020-12-28,"Software Developers, Applications",Synechron Inc,Jersey City,NJ,100526.0,New Jersey,9261699.0
2412386,I-200-20352-965900,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,148762.0,California,39029342.0
2412387,I-200-20353-968614,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Grayslake,IL,107515.0,Illinois,12582032.0
2412388,I-200-20353-968394,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,108930.0,California,39029342.0
2412389,I-200-20352-968310,Certified,2020-12-28,Commercial And Industrial Designers,"Facebook, Inc.",Menlo Park,CA,73299.0,California,39029342.0
2412390,I-200-20353-968594,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,San Jose,CA,101587.0,California,39029342.0
2412391,I-200-20352-966740,Certified,2020-12-28,"Software Developers, Applications",Virinchi Technologies Ltd,Jacksonville,FL,75046.0,Florida,22244823.0
2412392,I-200-20353-968463,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Menlo Park,CA,160849.0,California,39029342.0
2412393,I-200-20352-967565,Certified,2020-12-28,"Software Developers, Applications",Jean Martin Inc,New York,NY,100526.0,New York,19677151.0
2412394,I-200-20352-966027,Certified,2020-12-28,"Software Developers, Applications",Infosys Limited,Richardson,TX,110344.0,Texas,30029572.0
2412395,I-200-20352-966264,Certified,2020-12-28,"Software Developers, Applications",Terra Information Group Inc,Aurora,IL,87838.0,Illinois,12582032.0
2412396,I-200-20352-968306,Certified,2020-12-28,Graphic Designers,"Facebook, Inc.",Menlo Park,CA,63794.0,California,39029342.0
2412397,I-200-20352-966088,Certified,2020-12-28,Information Technology Project Managers,Atos Syntel Inc,Nashville,TN,54018.0,Tennessee,7051339.0
2412398,I-200-20353-968683,Certified,2020-12-28,"Software Developers, Applications",Facebook Inc.,Menlo Park,CA,145246.0,California,39029342.0
2412399,I-200-20353-968584,Certified,2020-12-28,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Irving,TX,80475.0,Texas,30029572.0
2412400,I-200-20352-967152,Certified,2020-12-28,"Software Developers, Applications","Itc Infotech (Usa), Inc.",Hillsboro,OR,108202.0,Oregon,4240137.0
2412401,I-200-20352-967603,Certified,2020-12-28,"Software Developers, Applications",Dataserv Inc,Manchester,CT,117021.0,Connecticut,3626205.0
2412402,I-200-20352-966086,Certified,2020-12-28,Computer Systems Analysts,Capgemini America Inc,Cincinnati,OH,95014.0,Ohio,11756058.0
2412403,I-200-20352-968280,Certified,2020-12-28,"Software Developers, Systems Software",Nvidia Corporation,Santa Clara,CA,138240.0,California,39029342.0
2412404,I-200-20353-968505,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Seattle,WA,123247.0,Washington,7785786.0
2412405,I-200-20353-968337,Certified,2020-12-28,Human Factors Engineers And Ergonomists,"Facebook, Inc.",Menlo Park,CA,113922.0,California,39029342.0
2412406,I-200-20353-968490,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Seattle,WA,104795.0,Washington,7785786.0
2412407,I-200-20352-966205,Certified,2020-12-28,"Software Developers, Applications",Visionet Systems Inc,Houston,TX,90022.0,Texas,30029572.0
2412408,I-200-20352-966075,Certified,2020-12-28,Computer Systems Analysts,Infosys Limited,Sunnyvale,CA,122990.0,California,39029342.0
2412409,I-200-20352-966656,Certified,2020-12-28,Computer And Information Systems Managers,"Vigna,Inc",Hillsboro,OR,115419.0,Oregon,4240137.0
2412410,I-200-20352-966872,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,108930.0,California,39029342.0
2412411,I-200-20352-967465,Certified,2020-12-28,Computer And Information Systems Managers,Larsen & Toubro Infotech Limited,Atlanta,GA,177902.0,Georgia,10912876.0
2412412,I-200-20352-967702,Certified,2020-12-28,"Software Developers, Systems Software","Sapot Systems, Inc",Valencia,CA,121160.0,California,39029342.0
2412413,I-200-20353-968524,Certified,2020-12-28,"Software Developers, Applications","Facebook, Inc.",Seattle,WA,141733.0,Washington,7785786.0
2412414,I-200-20353-968571,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,CA,135429.0,California,39029342.0
2412415,I-200-20352-968214,Certified,2020-12-28,"Software Developers, Applications",Whatsapp Inc.,Menlo Park,CA,136056.0,California,39029342.0
2412416,I-200-20352-967478,Certified,2020-12-28,"Electronics Engineers, Except Computer",Nvidia Corporation,Santa Clara,CA,133079.0,California,39029342.0
2412417,I-200-20352-966869,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",Fremont,CA,97011.0,California,39029342.0
2412418,I-200-20352-965980,Certified,2020-12-28,Mechatronics Engineers,L&T Technology Services Limited,Covington,TN,59966.0,Tennessee,7051339.0
2412419,I-200-20352-966050,Certified,2020-12-28,"Software Developers, Applications",Synechron Inc,Charlotte,NC,85488.0,North Carolina,10698973.0
2412420,I-200-20352-965897,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,CA,98592.0,California,39029342.0
2412421,I-200-20352-967847,Certified,2020-12-28,Computer Systems Analysts,Coforge Limited F/K/A Niit Technologies Limited,Naperville,IL,102945.0,Illinois,12582032.0
2412422,I-200-20353-968686,Certified,2020-12-28,Computer And Information Systems Managers,Facebook Inc.,Menlo Park,CA,201968.0,California,39029342.0
2412423,I-200-20352-966072,Certified,2020-12-28,Computer Systems Analysts,Infosys Limited,Atlanta,GA,91686.0,Georgia,10912876.0
2412424,I-200-20352-967819,Certified,2020-12-28,"Software Developers, Applications",Ggk Technologies Inc.,Frisco,TX,93558.0,Texas,30029572.0
2412425,I-200-20352-967140,Certified,2020-12-28,"Software Developers, Systems Software","Qualcomm Technologies, Inc.",San Diego,CA,117021.0,California,39029342.0
2412426,I-200-20352-967065,Certified,2020-12-28,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,148762.0,California,39029342.0
2412427,I-200-20353-968537,Certified,2020-12-28,"Software Developers, Applications",Enquero Inc.,Apex,NC,91291.0,North Carolina,10698973.0
2412428,I-200-20352-966064,Certified,2020-12-28,"Software Developers, Applications",Htc Global Services Inc.,Jersey City,NJ,100526.0,New Jersey,9261699.0
2412429,I-200-20352-966036,Certified,2020-12-28,Computer Systems Analysts,Capgemini America Inc,Johns Creek,GA,77730.0,Georgia,10912876.0
2412430,I-200-20352-967621,Certified,2020-12-28,"Software Developers, Applications",Trovetechs Inc,Deerfield,IL,71074.0,Illinois,12582032.0
2412431,I-200-20352-966093,Certified,2020-12-28,"Software Developers, Applications",Atos Syntel Inc,Louisville,KY,73757.0,Kentucky,4512310.0
2412432,I-200-20352-967662,Certified,2020-12-28,"Software Developers, Applications",Promatrix Corp,Bethesda,MD,76690.0,Maryland,6164660.0
2412433,I-200-20352-966235,Certified,2020-12-28,"Computer Occupations, All Other",Infosys Limited,Scottsdale,AZ,66768.0,Arizona,7359197.0
2412434,I-200-20352-966404,Certified,2020-12-28,Computer Systems Analysts,Virtusa Corporation,Ewing,NJ,81806.0,New Jersey,9261699.0
